conversation_id,trial,control_row_idx,treatment_row_idx,model_base,model_other,treatment_control,treatment_other,response_1_source,response_2_source,prob_choice_1,prob_choice_2,selected_choice,correct_choice,is_correct
trial2_gpt-4.1-mini-2025-04-14_control_vs_gpt-4o-mini_treatment_2,2,0,6,gpt-4.1-mini-2025-04-14,gpt-4o-mini,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial3_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,3,0,1,gpt-4.1-mini-2025-04-14,anthropic_claude-3-5-haiku-20241022,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial3_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,3,0,1,gpt-4.1-mini-2025-04-14,anthropic_claude-3-5-haiku-20241022,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial3_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-sonnet-4-20250514_treatment_1,3,0,2,gpt-4.1-mini-2025-04-14,anthropic_claude-sonnet-4-20250514,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial3_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-sonnet-4-20250514_treatment_2,3,0,2,gpt-4.1-mini-2025-04-14,anthropic_claude-sonnet-4-20250514,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial3_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-flash_treatment_1,3,0,3,gpt-4.1-mini-2025-04-14,google_gemini-2.5-flash,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial3_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-flash_treatment_2,3,0,3,gpt-4.1-mini-2025-04-14,google_gemini-2.5-flash,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial3_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-pro_treatment_1,3,0,4,gpt-4.1-mini-2025-04-14,google_gemini-2.5-pro,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial3_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-pro_treatment_2,3,0,4,gpt-4.1-mini-2025-04-14,google_gemini-2.5-pro,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial3_gpt-4.1-mini-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,3,0,5,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial3_gpt-4.1-mini-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,3,0,5,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial3_gpt-4.1-mini-2025-04-14_control_vs_gpt-4o-mini_treatment_1,3,0,6,gpt-4.1-mini-2025-04-14,gpt-4o-mini,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial3_gpt-4.1-mini-2025-04-14_control_vs_gpt-4o-mini_treatment_2,3,0,6,gpt-4.1-mini-2025-04-14,gpt-4o-mini,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial4_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,4,0,1,gpt-4.1-mini-2025-04-14,anthropic_claude-3-5-haiku-20241022,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial4_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,4,0,1,gpt-4.1-mini-2025-04-14,anthropic_claude-3-5-haiku-20241022,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial4_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-sonnet-4-20250514_treatment_1,4,0,2,gpt-4.1-mini-2025-04-14,anthropic_claude-sonnet-4-20250514,control,other_model,control,treatment,0.0009936520364135504,0.007342150434851646,2,1,False
trial4_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-sonnet-4-20250514_treatment_2,4,0,2,gpt-4.1-mini-2025-04-14,anthropic_claude-sonnet-4-20250514,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial4_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-flash_treatment_1,4,0,3,gpt-4.1-mini-2025-04-14,google_gemini-2.5-flash,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial4_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-flash_treatment_2,4,0,3,gpt-4.1-mini-2025-04-14,google_gemini-2.5-flash,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial4_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-pro_treatment_1,4,0,4,gpt-4.1-mini-2025-04-14,google_gemini-2.5-pro,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial4_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-pro_treatment_2,4,0,4,gpt-4.1-mini-2025-04-14,google_gemini-2.5-pro,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial4_gpt-4.1-mini-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,4,0,5,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial4_gpt-4.1-mini-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,4,0,5,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial4_gpt-4.1-mini-2025-04-14_control_vs_gpt-4o-mini_treatment_1,4,0,6,gpt-4.1-mini-2025-04-14,gpt-4o-mini,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial4_gpt-4.1-mini-2025-04-14_control_vs_gpt-4o-mini_treatment_2,4,0,6,gpt-4.1-mini-2025-04-14,gpt-4o-mini,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial5_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,5,0,1,gpt-4.1-mini-2025-04-14,anthropic_claude-3-5-haiku-20241022,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial5_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,5,0,1,gpt-4.1-mini-2025-04-14,anthropic_claude-3-5-haiku-20241022,control,other_model,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
trial5_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-sonnet-4-20250514_treatment_1,5,0,2,gpt-4.1-mini-2025-04-14,anthropic_claude-sonnet-4-20250514,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial5_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-sonnet-4-20250514_treatment_2,5,0,2,gpt-4.1-mini-2025-04-14,anthropic_claude-sonnet-4-20250514,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial5_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-flash_treatment_1,5,0,3,gpt-4.1-mini-2025-04-14,google_gemini-2.5-flash,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial5_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-flash_treatment_2,5,0,3,gpt-4.1-mini-2025-04-14,google_gemini-2.5-flash,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial5_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-pro_treatment_1,5,0,4,gpt-4.1-mini-2025-04-14,google_gemini-2.5-pro,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial5_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-pro_treatment_2,5,0,4,gpt-4.1-mini-2025-04-14,google_gemini-2.5-pro,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial5_gpt-4.1-mini-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,5,0,5,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial5_gpt-4.1-mini-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,5,0,5,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial5_gpt-4.1-mini-2025-04-14_control_vs_gpt-4o-mini_treatment_1,5,0,6,gpt-4.1-mini-2025-04-14,gpt-4o-mini,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial5_gpt-4.1-mini-2025-04-14_control_vs_gpt-4o-mini_treatment_2,5,0,6,gpt-4.1-mini-2025-04-14,gpt-4o-mini,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial6_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,6,0,1,gpt-4.1-mini-2025-04-14,anthropic_claude-3-5-haiku-20241022,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial6_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,6,0,1,gpt-4.1-mini-2025-04-14,anthropic_claude-3-5-haiku-20241022,control,other_model,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
trial6_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-sonnet-4-20250514_treatment_1,6,0,2,gpt-4.1-mini-2025-04-14,anthropic_claude-sonnet-4-20250514,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial6_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-sonnet-4-20250514_treatment_2,6,0,2,gpt-4.1-mini-2025-04-14,anthropic_claude-sonnet-4-20250514,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial6_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-flash_treatment_1,6,0,3,gpt-4.1-mini-2025-04-14,google_gemini-2.5-flash,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial6_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-flash_treatment_2,6,0,3,gpt-4.1-mini-2025-04-14,google_gemini-2.5-flash,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial6_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-pro_treatment_1,6,0,4,gpt-4.1-mini-2025-04-14,google_gemini-2.5-pro,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial6_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-pro_treatment_2,6,0,4,gpt-4.1-mini-2025-04-14,google_gemini-2.5-pro,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial6_gpt-4.1-mini-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,6,0,5,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial6_gpt-4.1-mini-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,6,0,5,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial6_gpt-4.1-mini-2025-04-14_control_vs_gpt-4o-mini_treatment_1,6,0,6,gpt-4.1-mini-2025-04-14,gpt-4o-mini,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial6_gpt-4.1-mini-2025-04-14_control_vs_gpt-4o-mini_treatment_2,6,0,6,gpt-4.1-mini-2025-04-14,gpt-4o-mini,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial7_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,7,0,1,gpt-4.1-mini-2025-04-14,anthropic_claude-3-5-haiku-20241022,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial7_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,7,0,1,gpt-4.1-mini-2025-04-14,anthropic_claude-3-5-haiku-20241022,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial7_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-sonnet-4-20250514_treatment_1,7,0,2,gpt-4.1-mini-2025-04-14,anthropic_claude-sonnet-4-20250514,control,other_model,control,treatment,0.0009936520364135504,0.007342150434851646,2,1,False
trial7_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-sonnet-4-20250514_treatment_2,7,0,2,gpt-4.1-mini-2025-04-14,anthropic_claude-sonnet-4-20250514,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial7_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-flash_treatment_1,7,0,3,gpt-4.1-mini-2025-04-14,google_gemini-2.5-flash,control,other_model,control,treatment,0.0009936520364135504,0.007342150434851646,2,1,False
trial7_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-flash_treatment_2,7,0,3,gpt-4.1-mini-2025-04-14,google_gemini-2.5-flash,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial7_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-pro_treatment_1,7,0,4,gpt-4.1-mini-2025-04-14,google_gemini-2.5-pro,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial7_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-pro_treatment_2,7,0,4,gpt-4.1-mini-2025-04-14,google_gemini-2.5-pro,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial7_gpt-4.1-mini-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,7,0,5,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial7_gpt-4.1-mini-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,7,0,5,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial7_gpt-4.1-mini-2025-04-14_control_vs_gpt-4o-mini_treatment_1,7,0,6,gpt-4.1-mini-2025-04-14,gpt-4o-mini,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial7_gpt-4.1-mini-2025-04-14_control_vs_gpt-4o-mini_treatment_2,7,0,6,gpt-4.1-mini-2025-04-14,gpt-4o-mini,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial8_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,8,0,1,gpt-4.1-mini-2025-04-14,anthropic_claude-3-5-haiku-20241022,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial8_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,8,0,1,gpt-4.1-mini-2025-04-14,anthropic_claude-3-5-haiku-20241022,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial8_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-sonnet-4-20250514_treatment_1,8,0,2,gpt-4.1-mini-2025-04-14,anthropic_claude-sonnet-4-20250514,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial8_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-sonnet-4-20250514_treatment_2,8,0,2,gpt-4.1-mini-2025-04-14,anthropic_claude-sonnet-4-20250514,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial8_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-flash_treatment_1,8,0,3,gpt-4.1-mini-2025-04-14,google_gemini-2.5-flash,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial8_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-flash_treatment_2,8,0,3,gpt-4.1-mini-2025-04-14,google_gemini-2.5-flash,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial8_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-pro_treatment_1,8,0,4,gpt-4.1-mini-2025-04-14,google_gemini-2.5-pro,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial8_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-pro_treatment_2,8,0,4,gpt-4.1-mini-2025-04-14,google_gemini-2.5-pro,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial8_gpt-4.1-mini-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,8,0,5,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial8_gpt-4.1-mini-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,8,0,5,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial8_gpt-4.1-mini-2025-04-14_control_vs_gpt-4o-mini_treatment_1,8,0,6,gpt-4.1-mini-2025-04-14,gpt-4o-mini,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial8_gpt-4.1-mini-2025-04-14_control_vs_gpt-4o-mini_treatment_2,8,0,6,gpt-4.1-mini-2025-04-14,gpt-4o-mini,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial9_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,9,0,1,gpt-4.1-mini-2025-04-14,anthropic_claude-3-5-haiku-20241022,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial9_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,9,0,1,gpt-4.1-mini-2025-04-14,anthropic_claude-3-5-haiku-20241022,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial9_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-sonnet-4-20250514_treatment_1,9,0,2,gpt-4.1-mini-2025-04-14,anthropic_claude-sonnet-4-20250514,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial9_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-sonnet-4-20250514_treatment_2,9,0,2,gpt-4.1-mini-2025-04-14,anthropic_claude-sonnet-4-20250514,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial9_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-flash_treatment_1,9,0,3,gpt-4.1-mini-2025-04-14,google_gemini-2.5-flash,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial9_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-flash_treatment_2,9,0,3,gpt-4.1-mini-2025-04-14,google_gemini-2.5-flash,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial9_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-pro_treatment_1,9,0,4,gpt-4.1-mini-2025-04-14,google_gemini-2.5-pro,control,other_model,control,treatment,0.0009936520364135504,0.007342150434851646,2,1,False
trial9_gpt-4.1-mini-2025-04-14_control_vs_google_gemini-2.5-pro_treatment_2,9,0,4,gpt-4.1-mini-2025-04-14,google_gemini-2.5-pro,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial9_gpt-4.1-mini-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,9,0,5,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial9_gpt-4.1-mini-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,9,0,5,gpt-4.1-mini-2025-04-14,gpt-4.1-2025-04-14,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial9_gpt-4.1-mini-2025-04-14_control_vs_gpt-4o-mini_treatment_1,9,0,6,gpt-4.1-mini-2025-04-14,gpt-4o-mini,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial9_gpt-4.1-mini-2025-04-14_control_vs_gpt-4o-mini_treatment_2,9,0,6,gpt-4.1-mini-2025-04-14,gpt-4o-mini,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial10_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,10,0,1,gpt-4.1-mini-2025-04-14,anthropic_claude-3-5-haiku-20241022,control,other_model,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial10_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,10,0,1,gpt-4.1-mini-2025-04-14,anthropic_claude-3-5-haiku-20241022,control,other_model,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial10_gpt-4.1-mini-2025-04-14_control_vs_anthropic_claude-sonnet-4-20250514_treatment_1,10,0,2,gpt-4.1-mini-2025-04-14,anthropic_claude-sonnet-4-20250514,control,other_model,control,treatment,0.0009936520364135504,0.007342150434851646,2,1,False
