conversation_id,trial,control_row_idx,treatment_row_idx,model_base,model_other,treatment_control,treatment_other,response_1_source,response_2_source,prob_choice_1,prob_choice_2,selected_choice,correct_choice,is_correct
trial8_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,8,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial8_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,8,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
trial9_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,9,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial9_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,9,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial10_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,10,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial10_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,10,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial11_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,11,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial11_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,11,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial12_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,12,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial12_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,12,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial13_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,13,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial13_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,13,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
trial14_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,14,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial14_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,14,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
trial15_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,15,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial15_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,15,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial16_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,16,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial16_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,16,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
trial17_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,17,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial17_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,17,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
trial18_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,18,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial18_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,18,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial19_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,19,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial19_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,19,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
trial20_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,20,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial20_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,20,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
